,E0,Ep,dL,phi,th_LRL
5377,0.0,43.2,1.0,177.0,0.0
5381,0.0,43.2,1.0,181.0,0.0
5382,0.0,43.2,1.0,182.0,0.0
5388,0.0,43.2,1.0,188.0,0.0
5392,0.0,43.2,1.0,192.0,0.0
5396,0.0,43.2,1.0,196.0,0.0
5397,0.0,43.2,1.0,197.0,0.0
5398,0.0,43.2,1.0,198.0,0.0
5505,0.0,43.2,1.0,105.0,1.0
5520,0.0,43.2,1.0,120.0,1.0
5525,0.0,43.2,1.0,125.0,1.0
5600,0.0,57.6,-1.0,0.0,0.0
5601,0.0,57.6,-1.0,1.0,0.0
5605,0.0,57.6,-1.0,5.0,0.0
5612,0.0,57.6,-1.0,12.0,0.0
5614,0.0,57.6,-1.0,14.0,0.0
5621,0.0,57.6,-1.0,21.0,0.0
5622,0.0,57.6,-1.0,22.0,0.0
5623,0.0,57.6,-1.0,23.0,0.0
5626,0.0,57.6,-1.0,26.0,0.0
5635,0.0,57.6,-1.0,35.0,0.0
5638,0.0,57.6,-1.0,38.0,0.0
5639,0.0,57.6,-1.0,39.0,0.0
5640,0.0,57.6,-1.0,40.0,0.0
5645,0.0,57.6,-1.0,45.0,0.0
5658,0.0,57.6,-1.0,58.0,0.0
5660,0.0,57.6,-1.0,60.0,0.0
5662,0.0,57.6,-1.0,62.0,0.0
5664,0.0,57.6,-1.0,64.0,0.0
5665,0.0,57.6,-1.0,65.0,0.0
5666,0.0,57.6,-1.0,66.0,0.0
5669,0.0,57.6,-1.0,69.0,0.0
5674,0.0,57.6,-1.0,74.0,0.0
5675,0.0,57.6,-1.0,75.0,0.0
5676,0.0,57.6,-1.0,76.0,0.0
5683,0.0,57.6,-1.0,83.0,0.0
5760,0.0,57.6,-1.0,160.0,0.0
5763,0.0,57.6,-1.0,163.0,0.0
5777,0.0,57.6,-1.0,177.0,0.0
5778,0.0,57.6,-1.0,178.0,0.0
5779,0.0,57.6,-1.0,179.0,0.0
5781,0.0,57.6,-1.0,181.0,0.0
5783,0.0,57.6,-1.0,183.0,0.0
5788,0.0,57.6,-1.0,188.0,0.0
5796,0.0,57.6,-1.0,196.0,0.0
6000,0.0,57.6,1.0,0.0,0.0
6001,0.0,57.6,1.0,1.0,0.0
6005,0.0,57.6,1.0,5.0,0.0
6012,0.0,57.6,1.0,12.0,0.0
6014,0.0,57.6,1.0,14.0,0.0
6021,0.0,57.6,1.0,21.0,0.0
6022,0.0,57.6,1.0,22.0,0.0
6023,0.0,57.6,1.0,23.0,0.0
6026,0.0,57.6,1.0,26.0,0.0
6035,0.0,57.6,1.0,35.0,0.0
6038,0.0,57.6,1.0,38.0,0.0
6039,0.0,57.6,1.0,39.0,0.0
6040,0.0,57.6,1.0,40.0,0.0
6045,0.0,57.6,1.0,45.0,0.0
6058,0.0,57.6,1.0,58.0,0.0
6060,0.0,57.6,1.0,60.0,0.0
6062,0.0,57.6,1.0,62.0,0.0
6064,0.0,57.6,1.0,64.0,0.0
6065,0.0,57.6,1.0,65.0,0.0
6066,0.0,57.6,1.0,66.0,0.0
6069,0.0,57.6,1.0,69.0,0.0
6074,0.0,57.6,1.0,74.0,0.0
6075,0.0,57.6,1.0,75.0,0.0
6076,0.0,57.6,1.0,76.0,0.0
6083,0.0,57.6,1.0,83.0,0.0
6160,0.0,57.6,1.0,160.0,0.0
6163,0.0,57.6,1.0,163.0,0.0
6177,0.0,57.6,1.0,177.0,0.0
6178,0.0,57.6,1.0,178.0,0.0
6179,0.0,57.6,1.0,179.0,0.0
6181,0.0,57.6,1.0,181.0,0.0
6183,0.0,57.6,1.0,183.0,0.0
6188,0.0,57.6,1.0,188.0,0.0
6196,0.0,57.6,1.0,196.0,0.0
6401,0.0,72.0,-1.0,1.0,0.0
6403,0.0,72.0,-1.0,3.0,0.0
6407,0.0,72.0,-1.0,7.0,0.0
6412,0.0,72.0,-1.0,12.0,0.0
6416,0.0,72.0,-1.0,16.0,0.0
6427,0.0,72.0,-1.0,27.0,0.0
6428,0.0,72.0,-1.0,28.0,0.0
6434,0.0,72.0,-1.0,34.0,0.0
6441,0.0,72.0,-1.0,41.0,0.0
6447,0.0,72.0,-1.0,47.0,0.0
6456,0.0,72.0,-1.0,56.0,0.0
6457,0.0,72.0,-1.0,57.0,0.0
6463,0.0,72.0,-1.0,63.0,0.0
6464,0.0,72.0,-1.0,64.0,0.0
6468,0.0,72.0,-1.0,68.0,0.0
6561,0.0,72.0,-1.0,161.0,0.0
6568,0.0,72.0,-1.0,168.0,0.0
6570,0.0,72.0,-1.0,170.0,0.0
6574,0.0,72.0,-1.0,174.0,0.0
6577,0.0,72.0,-1.0,177.0,0.0
6579,0.0,72.0,-1.0,179.0,0.0
6584,0.0,72.0,-1.0,184.0,0.0
6589,0.0,72.0,-1.0,189.0,0.0
6593,0.0,72.0,-1.0,193.0,0.0
6594,0.0,72.0,-1.0,194.0,0.0
6596,0.0,72.0,-1.0,196.0,0.0
6599,0.0,72.0,-1.0,199.0,0.0
6801,0.0,72.0,1.0,1.0,0.0
6803,0.0,72.0,1.0,3.0,0.0
6807,0.0,72.0,1.0,7.0,0.0
6812,0.0,72.0,1.0,12.0,0.0
6816,0.0,72.0,1.0,16.0,0.0
6827,0.0,72.0,1.0,27.0,0.0
6828,0.0,72.0,1.0,28.0,0.0
6834,0.0,72.0,1.0,34.0,0.0
6841,0.0,72.0,1.0,41.0,0.0
6847,0.0,72.0,1.0,47.0,0.0
6856,0.0,72.0,1.0,56.0,0.0
6857,0.0,72.0,1.0,57.0,0.0
6863,0.0,72.0,1.0,63.0,0.0
6864,0.0,72.0,1.0,64.0,0.0
6868,0.0,72.0,1.0,68.0,0.0
6961,0.0,72.0,1.0,161.0,0.0
6968,0.0,72.0,1.0,168.0,0.0
6970,0.0,72.0,1.0,170.0,0.0
6974,0.0,72.0,1.0,174.0,0.0
6977,0.0,72.0,1.0,177.0,0.0
6979,0.0,72.0,1.0,179.0,0.0
6984,0.0,72.0,1.0,184.0,0.0
6989,0.0,72.0,1.0,189.0,0.0
6993,0.0,72.0,1.0,193.0,0.0
6994,0.0,72.0,1.0,194.0,0.0
6996,0.0,72.0,1.0,196.0,0.0
6999,0.0,72.0,1.0,199.0,0.0
7200,0.0,86.4,-1.0,0.0,0.0
7203,0.0,86.4,-1.0,3.0,0.0
7206,0.0,86.4,-1.0,6.0,0.0
7210,0.0,86.4,-1.0,10.0,0.0
7222,0.0,86.4,-1.0,22.0,0.0
7224,0.0,86.4,-1.0,24.0,0.0
7228,0.0,86.4,-1.0,28.0,0.0
7230,0.0,86.4,-1.0,30.0,0.0
7231,0.0,86.4,-1.0,31.0,0.0
7235,0.0,86.4,-1.0,35.0,0.0
7242,0.0,86.4,-1.0,42.0,0.0
7255,0.0,86.4,-1.0,55.0,0.0
7258,0.0,86.4,-1.0,58.0,0.0
7259,0.0,86.4,-1.0,59.0,0.0
7260,0.0,86.4,-1.0,60.0,0.0
7261,0.0,86.4,-1.0,61.0,0.0
7263,0.0,86.4,-1.0,63.0,0.0
7265,0.0,86.4,-1.0,65.0,0.0
7277,0.0,86.4,-1.0,77.0,0.0
7332,0.0,86.4,-1.0,132.0,0.0
7359,0.0,86.4,-1.0,159.0,0.0
7363,0.0,86.4,-1.0,163.0,0.0
7378,0.0,86.4,-1.0,178.0,0.0
7379,0.0,86.4,-1.0,179.0,0.0
7380,0.0,86.4,-1.0,180.0,0.0
7381,0.0,86.4,-1.0,181.0,0.0
7382,0.0,86.4,-1.0,182.0,0.0
7384,0.0,86.4,-1.0,184.0,0.0
7386,0.0,86.4,-1.0,186.0,0.0
7388,0.0,86.4,-1.0,188.0,0.0
7390,0.0,86.4,-1.0,190.0,0.0
7391,0.0,86.4,-1.0,191.0,0.0
7600,0.0,86.4,1.0,0.0,0.0
7603,0.0,86.4,1.0,3.0,0.0
7606,0.0,86.4,1.0,6.0,0.0
7610,0.0,86.4,1.0,10.0,0.0
7622,0.0,86.4,1.0,22.0,0.0
7624,0.0,86.4,1.0,24.0,0.0
7628,0.0,86.4,1.0,28.0,0.0
7630,0.0,86.4,1.0,30.0,0.0
7631,0.0,86.4,1.0,31.0,0.0
7635,0.0,86.4,1.0,35.0,0.0
7642,0.0,86.4,1.0,42.0,0.0
7655,0.0,86.4,1.0,55.0,0.0
7658,0.0,86.4,1.0,58.0,0.0
7659,0.0,86.4,1.0,59.0,0.0
7660,0.0,86.4,1.0,60.0,0.0
7661,0.0,86.4,1.0,61.0,0.0
7663,0.0,86.4,1.0,63.0,0.0
7665,0.0,86.4,1.0,65.0,0.0
7677,0.0,86.4,1.0,77.0,0.0
7732,0.0,86.4,1.0,132.0,0.0
7759,0.0,86.4,1.0,159.0,0.0
7763,0.0,86.4,1.0,163.0,0.0
7778,0.0,86.4,1.0,178.0,0.0
7779,0.0,86.4,1.0,179.0,0.0
7780,0.0,86.4,1.0,180.0,0.0
7781,0.0,86.4,1.0,181.0,0.0
7782,0.0,86.4,1.0,182.0,0.0
7784,0.0,86.4,1.0,184.0,0.0
7786,0.0,86.4,1.0,186.0,0.0
7788,0.0,86.4,1.0,188.0,0.0
7790,0.0,86.4,1.0,190.0,0.0
7791,0.0,86.4,1.0,191.0,0.0
8000,0.0,100.8,-1.0,0.0,0.0
8001,0.0,100.8,-1.0,1.0,0.0
8006,0.0,100.8,-1.0,6.0,0.0
8011,0.0,100.8,-1.0,11.0,0.0
8018,0.0,100.8,-1.0,18.0,0.0
8022,0.0,100.8,-1.0,22.0,0.0
8026,0.0,100.8,-1.0,26.0,0.0
8027,0.0,100.8,-1.0,27.0,0.0
8037,0.0,100.8,-1.0,37.0,0.0
8039,0.0,100.8,-1.0,39.0,0.0
8048,0.0,100.8,-1.0,48.0,0.0
8049,0.0,100.8,-1.0,49.0,0.0
8050,0.0,100.8,-1.0,50.0,0.0
8054,0.0,100.8,-1.0,54.0,0.0
8058,0.0,100.8,-1.0,58.0,0.0
8060,0.0,100.8,-1.0,60.0,0.0
8065,0.0,100.8,-1.0,65.0,0.0
8067,0.0,100.8,-1.0,67.0,0.0
8085,0.0,100.8,-1.0,85.0,0.0
8095,0.0,100.8,-1.0,95.0,0.0
8141,0.0,100.8,-1.0,141.0,0.0
8157,0.0,100.8,-1.0,157.0,0.0
8162,0.0,100.8,-1.0,162.0,0.0
8179,0.0,100.8,-1.0,179.0,0.0
8181,0.0,100.8,-1.0,181.0,0.0
8188,0.0,100.8,-1.0,188.0,0.0
8189,0.0,100.8,-1.0,189.0,0.0
8190,0.0,100.8,-1.0,190.0,0.0
8193,0.0,100.8,-1.0,193.0,0.0
8194,0.0,100.8,-1.0,194.0,0.0
8196,0.0,100.8,-1.0,196.0,0.0
8400,0.0,100.8,1.0,0.0,0.0
8401,0.0,100.8,1.0,1.0,0.0
8406,0.0,100.8,1.0,6.0,0.0
8411,0.0,100.8,1.0,11.0,0.0
8418,0.0,100.8,1.0,18.0,0.0
8422,0.0,100.8,1.0,22.0,0.0
8426,0.0,100.8,1.0,26.0,0.0
8427,0.0,100.8,1.0,27.0,0.0
8437,0.0,100.8,1.0,37.0,0.0
8439,0.0,100.8,1.0,39.0,0.0
8448,0.0,100.8,1.0,48.0,0.0
8449,0.0,100.8,1.0,49.0,0.0
8450,0.0,100.8,1.0,50.0,0.0
8454,0.0,100.8,1.0,54.0,0.0
8458,0.0,100.8,1.0,58.0,0.0
8460,0.0,100.8,1.0,60.0,0.0
8465,0.0,100.8,1.0,65.0,0.0
8467,0.0,100.8,1.0,67.0,0.0
8485,0.0,100.8,1.0,85.0,0.0
8495,0.0,100.8,1.0,95.0,0.0
8541,0.0,100.8,1.0,141.0,0.0
8557,0.0,100.8,1.0,157.0,0.0
8562,0.0,100.8,1.0,162.0,0.0
8579,0.0,100.8,1.0,179.0,0.0
8581,0.0,100.8,1.0,181.0,0.0
8588,0.0,100.8,1.0,188.0,0.0
8589,0.0,100.8,1.0,189.0,0.0
8590,0.0,100.8,1.0,190.0,0.0
8593,0.0,100.8,1.0,193.0,0.0
8594,0.0,100.8,1.0,194.0,0.0
8596,0.0,100.8,1.0,196.0,0.0
8804,0.0,115.2,-1.0,4.0,0.0
8807,0.0,115.2,-1.0,7.0,0.0
8808,0.0,115.2,-1.0,8.0,0.0
8809,0.0,115.2,-1.0,9.0,0.0
8816,0.0,115.2,-1.0,16.0,0.0
8817,0.0,115.2,-1.0,17.0,0.0
8824,0.0,115.2,-1.0,24.0,0.0
8829,0.0,115.2,-1.0,29.0,0.0
8837,0.0,115.2,-1.0,37.0,0.0
8845,0.0,115.2,-1.0,45.0,0.0
8848,0.0,115.2,-1.0,48.0,0.0
8849,0.0,115.2,-1.0,49.0,0.0
8850,0.0,115.2,-1.0,50.0,0.0
8851,0.0,115.2,-1.0,51.0,0.0
8852,0.0,115.2,-1.0,52.0,0.0
8853,0.0,115.2,-1.0,53.0,0.0
8855,0.0,115.2,-1.0,55.0,0.0
8859,0.0,115.2,-1.0,59.0,0.0
8862,0.0,115.2,-1.0,62.0,0.0
8865,0.0,115.2,-1.0,65.0,0.0
8867,0.0,115.2,-1.0,67.0,0.0
8874,0.0,115.2,-1.0,74.0,0.0
8883,0.0,115.2,-1.0,83.0,0.0
8955,0.0,115.2,-1.0,155.0,0.0
8962,0.0,115.2,-1.0,162.0,0.0
8964,0.0,115.2,-1.0,164.0,0.0
8966,0.0,115.2,-1.0,166.0,0.0
8970,0.0,115.2,-1.0,170.0,0.0
8971,0.0,115.2,-1.0,171.0,0.0
8973,0.0,115.2,-1.0,173.0,0.0
8978,0.0,115.2,-1.0,178.0,0.0
8979,0.0,115.2,-1.0,179.0,0.0
8980,0.0,115.2,-1.0,180.0,0.0
8982,0.0,115.2,-1.0,182.0,0.0
8988,0.0,115.2,-1.0,188.0,0.0
8991,0.0,115.2,-1.0,191.0,0.0
8994,0.0,115.2,-1.0,194.0,0.0
8996,0.0,115.2,-1.0,196.0,0.0
9204,0.0,115.2,1.0,4.0,0.0
9207,0.0,115.2,1.0,7.0,0.0
9208,0.0,115.2,1.0,8.0,0.0
9209,0.0,115.2,1.0,9.0,0.0
9216,0.0,115.2,1.0,16.0,0.0
9217,0.0,115.2,1.0,17.0,0.0
9224,0.0,115.2,1.0,24.0,0.0
9229,0.0,115.2,1.0,29.0,0.0
9237,0.0,115.2,1.0,37.0,0.0
9245,0.0,115.2,1.0,45.0,0.0
9248,0.0,115.2,1.0,48.0,0.0
9249,0.0,115.2,1.0,49.0,0.0
9250,0.0,115.2,1.0,50.0,0.0
9251,0.0,115.2,1.0,51.0,0.0
9252,0.0,115.2,1.0,52.0,0.0
9253,0.0,115.2,1.0,53.0,0.0
9255,0.0,115.2,1.0,55.0,0.0
9259,0.0,115.2,1.0,59.0,0.0
9262,0.0,115.2,1.0,62.0,0.0
9265,0.0,115.2,1.0,65.0,0.0
9267,0.0,115.2,1.0,67.0,0.0
9274,0.0,115.2,1.0,74.0,0.0
9283,0.0,115.2,1.0,83.0,0.0
9355,0.0,115.2,1.0,155.0,0.0
9362,0.0,115.2,1.0,162.0,0.0
9364,0.0,115.2,1.0,164.0,0.0
9366,0.0,115.2,1.0,166.0,0.0
9370,0.0,115.2,1.0,170.0,0.0
9371,0.0,115.2,1.0,171.0,0.0
9373,0.0,115.2,1.0,173.0,0.0
9378,0.0,115.2,1.0,178.0,0.0
